2023-08-02 15:57:27.201729,2023-08-02 15:57:42.124596,0:00:14.922867,Viktor
2023-08-02 16:09:47.997679,2023-08-02 16:09:54.945225,0:00:06.947546,Viktor
2023-08-02 16:18:15.034335,2023-08-02 16:18:48.107511,0:00:33.073176,Bina
2023-08-02 16:18:48.285985,2023-08-02 16:18:56.764525,0:00:08.478540,Bina
2023-08-02 16:18:56.925577,2023-08-02 16:18:59.098651,0:00:02.173074,Bina
2023-08-02 16:18:59.825234,2023-08-02 16:19:10.688033,0:00:10.862799,Bina
2023-08-02 16:19:10.853980,2023-08-02 16:19:28.143688,0:00:17.289708,Bina
2023-08-02 16:19:28.751588,2023-08-02 16:22:49.790696,0:03:21.039108,Bina
2023-08-02 17:23:14.962340,2023-08-02 17:24:08.001990,0:00:53.039650,Viktor
2023-08-02 17:24:08.036473,2023-08-02 17:24:16.264211,0:00:08.227738,Viktor
2023-08-02 17:26:50.783553,2023-08-02 17:27:01.187934,0:00:10.404381,Viktor
2023-08-02 17:31:28.837273,2023-08-02 17:31:43.443260,0:00:14.605987,Viktor
2023-08-02 17:31:43.501745,2023-08-02 17:31:48.127130,0:00:04.625385,Viktor
2023-08-02 17:43:07.683628,2023-08-02 17:43:23.019777,0:00:15.336149,Viktor
2023-08-02 17:43:23.101389,2023-08-02 17:43:26.047192,0:00:02.945803,Viktor
2023-08-02 17:43:26.804396,2023-08-02 17:43:29.571268,0:00:02.766872,Viktor
2023-08-03 09:53:45.938290,2023-08-03 09:54:11.344456,0:00:25.406166,Viktor
2023-08-03 09:54:14.769055,2023-08-03 09:54:51.364814,0:00:36.595759,Viktor
2023-08-03 09:54:53.167228,2023-08-03 09:55:40.276729,0:00:47.109501,Viktor
2023-08-03 11:43:06.831851,2023-08-03 11:45:20.797715,0:02:13.965864,Viktor
2023-08-03 11:45:20.834420,2023-08-03 11:45:59.566525,0:00:38.732105,Viktor
2023-08-03 11:46:01.183790,2023-08-03 11:46:18.506402,0:00:17.322612,Viktor
2023-08-03 11:46:18.614744,2023-08-03 11:46:23.347426,0:00:04.732682,Viktor
2023-08-03 11:46:23.964385,2023-08-03 11:46:39.757103,0:00:15.792718,Viktor
2023-08-03 11:46:39.794340,2023-08-03 11:46:47.301694,0:00:07.507354,Viktor
2023-08-03 11:46:47.351880,2023-08-03 11:48:26.653230,0:01:39.301350,Viktor
2023-08-02 15:01:24.615944,2023-08-02 15:01:31.339488,0:00:06.723544,Viktor
2023-08-02 15:01:31.391104,2023-08-02 15:01:47.592692,0:00:16.201588,Viktor
2023-08-02 15:01:47.738175,2023-08-02 15:01:53.401899,0:00:05.663724,Viktor
2023-08-02 15:01:53.516808,2023-08-02 15:02:17.614288,0:00:24.097480,Viktor
2023-08-02 15:02:17.717734,2023-08-02 15:03:05.312930,0:00:47.595196,Viktor
2023-08-02 15:03:05.438006,2023-08-02 15:03:28.355273,0:00:22.917267,Viktor
2023-08-02 15:03:28.552464,2023-08-02 15:04:17.853209,0:00:49.300745,Viktor
2023-08-03 11:48:26.736061,2023-08-03 11:48:37.168045,0:00:10.431984,Viktor
2023-08-03 11:48:37.252650,2023-08-03 11:48:38.925601,0:00:01.672951,Viktor
2023-08-03 11:48:39.041062,2023-08-03 11:49:56.231042,0:01:17.189980,Viktor
2023-08-03 11:49:57.248185,2023-08-03 11:51:21.051589,0:01:23.803404,Viktor
2023-08-03 11:51:21.129982,2023-08-03 11:51:23.696362,0:00:02.566380,Viktor
2023-08-03 11:51:23.793450,2023-08-03 11:51:30.167773,0:00:06.374323,Viktor
2023-08-03 11:51:30.285938,2023-08-03 11:51:35.492997,0:00:05.207059,Viktor
2023-08-03 11:51:35.570072,2023-08-03 11:51:55.230601,0:00:19.660529,Viktor
2023-08-03 11:51:55.865313,2023-08-03 11:52:26.849573,0:00:30.984260,Viktor
2023-08-03 11:52:26.907281,2023-08-03 11:52:43.235889,0:00:16.328608,Viktor
2023-08-03 11:52:43.246940,2023-08-03 11:52:50.835839,0:00:07.588899,Viktor
2023-08-03 11:52:51.384417,2023-08-03 11:54:00.421765,0:01:09.037348,Viktor
2023-08-03 11:54:00.572253,2023-08-03 11:55:02.490656,0:01:01.918403,Viktor
2023-08-03 11:55:02.579939,2023-08-03 11:56:04.383074,0:01:01.803135,Viktor
2023-08-03 11:56:04.537966,2023-08-03 11:56:08.186049,0:00:03.648083,Viktor
2023-08-03 11:57:09.966405,2023-08-03 11:57:36.729555,0:00:26.763150,Bina
2023-08-03 11:57:36.763975,2023-08-03 11:57:55.026048,0:00:18.262073,Bina
2023-08-03 11:57:55.181134,2023-08-03 11:58:22.994242,0:00:27.813108,Bina
2023-08-03 11:58:23.176213,2023-08-03 11:58:42.743914,0:00:19.567701,Bina
2023-08-03 11:58:42.883362,2023-08-03 11:59:01.530098,0:00:18.646736,Bina
2023-08-03 11:59:01.672850,2023-08-03 11:59:04.384399,0:00:02.711549,Bina
2023-08-03 11:59:04.491648,2023-08-03 12:04:56.312112,0:05:51.820464,Bina
2023-08-03 12:06:12.842631,2023-08-03 12:08:26.933795,0:02:14.091164,Viktor
2023-08-02 15:04:17.974681,2023-08-02 15:04:47.451828,0:00:29.477147,Viktor
2023-08-02 15:04:47.553450,2023-08-02 15:05:03.919703,0:00:16.366253,Viktor
2023-08-02 15:05:04.003926,2023-08-02 15:05:10.544831,0:00:06.540905,Viktor
2023-08-02 15:05:10.693003,2023-08-02 15:05:33.143683,0:00:22.450680,Viktor
2023-08-02 15:58:43.774247,2023-08-02 15:59:00.848574,0:00:17.074327,Viktor
2023-08-02 15:59:36.134901,2023-08-02 15:59:44.392107,0:00:08.257206,Viktor
2023-08-02 15:59:44.543148,2023-08-02 15:59:47.478289,0:00:02.935141,Viktor
2023-08-02 16:00:41.400420,2023-08-02 16:00:46.896299,0:00:05.495879,Viktor
2023-08-02 16:05:33.758259,2023-08-02 16:05:40.970730,0:00:07.212471,Viktor
2023-08-02 16:11:16.380787,2023-08-02 16:11:29.395096,0:00:13.014309,Viktor
2023-08-02 16:14:34.683751,2023-08-02 16:14:48.697572,0:00:14.013821,Viktor
2023-08-02 16:16:42.286433,2023-08-02 16:16:58.376029,0:00:16.089596,Viktor
2023-08-02 16:17:29.615421,2023-08-02 16:17:32.188324,0:00:02.572903,Viktor
2023-08-02 17:32:53.882412,2023-08-02 17:32:59.077148,0:00:05.194736,Viktor
2023-08-02 17:32:59.279333,2023-08-02 17:33:08.224108,0:00:08.944775,Viktor
2023-08-04 10:40:33.052913,2023-08-04 10:41:11.853398,0:00:38.800485,Viktor
2023-08-04 10:46:32.010887,2023-08-04 10:47:01.100519,0:00:29.089632,Viktor
2023-08-04 10:47:01.121257,2023-08-04 10:48:44.173742,0:01:43.052485,Viktor
2023-08-04 14:35:59.491175,2023-08-04 14:36:17.288453,0:00:17.797278,Viktor
2023-08-04 14:36:17.395654,2023-08-04 14:36:38.824182,0:00:21.428528,Viktor
2023-08-04 14:47:18.309074,2023-08-04 14:47:20.123875,0:00:01.814801,Viktor
2023-08-04 14:47:20.216307,2023-08-04 14:47:22.517670,0:00:02.301363,Viktor
2023-08-04 14:47:22.638499,2023-08-04 14:47:33.168756,0:00:10.530257,Viktor
2023-08-04 14:47:33.288061,2023-08-04 14:48:14.810314,0:00:41.522253,Viktor
2023-08-04 14:53:19.706225,2023-08-04 14:53:30.336791,0:00:10.630566,Viktor
2023-08-04 14:53:30.451402,2023-08-04 14:53:49.943971,0:00:19.492569,Viktor
2023-08-04 14:53:50.717840,2023-08-04 14:54:05.634880,0:00:14.917040,Viktor
2023-08-04 14:54:54.406990,2023-08-04 14:55:25.193469,0:00:30.786479,Bina
2023-08-04 14:55:25.346001,2023-08-04 14:56:05.369416,0:00:40.023415,Bina
2023-08-04 14:56:05.507616,2023-08-04 14:56:10.691616,0:00:05.184000,Bina
2023-08-04 15:58:47.666297,2023-08-04 15:59:22.358236,0:00:34.691939,Viktor
2023-08-04 15:59:22.454227,2023-08-04 16:00:30.214555,0:01:07.760328,Viktor
2023-08-04 16:00:30.378384,2023-08-04 16:02:52.204960,0:02:21.826576,Viktor
2023-08-04 16:04:16.483061,2023-08-04 16:04:18.252074,0:00:01.769013,Bina
2023-08-04 16:04:19.064445,2023-08-04 16:06:00.812909,0:01:41.748464,Bina
2023-08-04 16:06:00.967558,2023-08-04 16:06:05.621809,0:00:04.654251,Bina
2023-08-04 16:06:05.806108,2023-08-04 16:06:16.224130,0:00:10.418022,Bina
2023-08-04 16:06:16.518102,2023-08-04 16:08:35.865629,0:02:19.347527,Bina
2023-08-04 16:10:38.982944,2023-08-04 16:11:17.089799,0:00:38.106855,Viktor
2023-08-04 16:11:17.204040,2023-08-04 16:11:27.412700,0:00:10.208660,Viktor
2023-08-04 16:11:27.436087,2023-08-04 16:15:06.741640,0:03:39.305553,Viktor
